Result,WLdiff,PSdiff,PAdiff,netwins
0,0.213,4,-2.5,2
3,0.098,-0.1,-1.6,2
4,-0.2,-8.2,-4.3,1
7,-0.024,-9.6,-7.3,0
2,-0.054,-5.3,-5,0
1,0.256,9.7,2.1,0
6,0.049,12.3,7.2,-1
5,-0.134,-1.8,3.7,0
3,-0.049,-3.7,-2.2,2
2,0.068,-3.3,-6.8,0
0,0.342,4,-5.4,2
5,-0.153,-3.5,1,-2
2,-0.122,-4.9,-0.8,-2
5,0,7.7,5.3,2
2,0.183,-0.3,-6,1
7,-0.158,-0.8,4.4,-1
1,0.097,3.2,0.2,0
5,0.024,-5.5,-5.1,0
2,0.036,-0.8,-2.2,-4
5,-0.146,4,7.1,-1
6,-0.122,-3.7,2.1,4
2,0.025,-1.7,-1.2,0
1,0.097,-1.3,-5.2,0
4,0.048,2.8,-1.5,0
3,0.22,-4.3,-9.2,0
0,0.135,5.3,0.3,4
6,0.048,-7,-7.6,-1
4,-0.073,-3.6,-1.5,0
3,0.11,10.1,5.2,2
5,0,1,0.3,2
4,-0.158,-0.6,4.8,-4
2,0.171,6.9,1.2,0
7,0.086,-0.6,-1.6,2
1,0.134,6.1,-0.6,4
5,-0.171,-4,0.7,-2
2,0.036,2.3,0.9,2
5,-0.146,-11.7,-4.8,-1
3,0,-2.8,0.4,0
2,0.269,4.5,-3.8,4
5,-0.11,-3,-0.4,-2
0,0.158,1.7,-2.5,0
7,0.037,5.5,3.1,3
0,0.268,10.6,1.3,2
6,-0.073,1.3,1.8,-2
4,-0.012,-3.5,-3.1,0
1,0.049,-4.5,-3.5,4
3,-0.195,-10.6,-5.8,-2
2,0.012,1.6,0.1,-1
4,-0.219,-4.7,-1.2,-3
7,-0.11,-1.5,0.9,-3
3,0.098,2.7,-0.2,2
6,-0.353,-9.8,0.2,-2
5,0.146,-6.7,-10,0
2,0,-2.9,-3.3,2
0,0.158,2.3,-3.1,-2
4,0,3.4,2.3,0
3,0.134,0.5,-2.3,2
1,0.39,8.4,-2.3,3
6,-0.159,-7.9,-0.3,-4
5,0.109,-0.6,-4.1,2
7,-0.305,-4.4,8.4,-4
1,0.195,5.6,-2.9,0
6,0.024,-2.3,-1.8,-2
0,0.073,10.6,6.2,-1
4,-0.048,1.2,2,0
7,0,-3.4,-4.6,-2
0,0.195,15.2,7.5,1
2,0.073,-10,-11.5,2
5,-0.146,-5.1,-3,0
7,-0.11,-5.2,-1.9,-2
2,0.11,3.3,-1.2,2
5,-0.074,-6,-3.4,-2
0,0.317,8,-4.2,4
1,0.098,8.7,3.8,2
2,0.22,4.8,-1.9,0
3,0,-8,-7.6,-2
